"","tag_serial_number","tag_type","tag_subtype","sensor_type","acoustic_tag_id","acoustic_tag_id_alternative","manufacturer","model","frequency","status","activation_date","battery_estimated_life","battery_estimated_end_date","length","diameter","weight","floating","archive_memory","sensor_slope","sensor_intercept","sensor_range","sensor_range_min","sensor_range_max","sensor_resolution","sensor_unit","sensor_accuracy","sensor_transmit_ratio","accelerometer_algorithm","accelerometer_samples_per_second","owner_organization","owner_pi","financing_project","step1_min_delay","step1_max_delay","step1_power","step1_duration","step1_acceleration_duration","step2_min_delay","step2_max_delay","step2_power","step2_duration","step2_acceleration_duration","step3_min_delay","step3_max_delay","step3_power","step3_duration","step3_acceleration_duration","step4_min_delay","step4_max_delay","step4_power","step4_duration","step4_acceleration_duration","tag_id","tag_device_id"
"23","1271096","acoustic-archival","animal","A","A69-9006-987",NA,"INNOVASEA","V13AP-1x-069k-1-0034m","069k","available",NA,"196",2019-12-19 08:00:00,NA,NA,NA,NA,NA,0.01922,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jan Reubens",NA,"30","60","H",30,NA,"140","220","H",168,NA,NA,NA,"L",365,NA,NA,NA,NA,NA,NA,"acoustic:1877",114
"24","1271096","acoustic-archival","animal","P","A69-9006-988",NA,"INNOVASEA","V13AP-1x-069k-1-0034m","069k","available",NA,"196",2019-12-19 08:00:00,NA,NA,NA,NA,NA,0.1516,-0.6065,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jan Reubens",NA,"30","60","H",30,NA,"140","220","H",168,NA,NA,NA,"L",365,NA,NA,NA,NA,NA,NA,"acoustic:1878",114
"25","1292638","acoustic-archival","animal","pressure","A69-9006-3639",NA,"INNOVASEA","V9TP-2x",NA,"ended",2018-09-13 08:00:00,"354",2019-09-02 08:00:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"Meters",NA,3,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1802",257
"26","1292638","acoustic-archival","animal","temperature","A69-9006-3638",NA,"INNOVASEA","V9TP-2x",NA,"ended",2018-09-13 08:00:00,"354",2019-09-02 08:00:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1803",257
"27","1292639","acoustic-archival","animal","pressure","A69-9006-3641",NA,"INNOVASEA","V9TP-2x",NA,"available",NA,"354",2019-09-03 11:30:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"Meters",NA,3,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1804",258
"28","1292639","acoustic-archival","animal","temperature","A69-9006-3640",NA,"INNOVASEA","V9TP-2x",NA,"available",NA,"354",2019-09-03 11:30:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1805",258
"29","1292640","acoustic-archival","animal","temperature","A69-9006-3642",NA,"INNOVASEA","V9TP-2x",NA,"available",NA,"354",2019-09-25 13:00:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1806",259
"30","1292640","acoustic-archival","animal","pressure","A69-9006-3643",NA,"INNOVASEA","V9TP-2x",NA,"available",NA,"354",2019-09-25 13:00:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"Meters",NA,3,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1807",259
"31","1292641","acoustic-archival","animal","pressure","A69-9006-3645",NA,"INNOVASEA","V9TP-2x",NA,"ended",2018-10-06 13:00:00,"354",2019-09-25 13:00:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"Meters",NA,3,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1808",260
"32","1292641","acoustic-archival","animal","temperature","A69-9006-3644",NA,"INNOVASEA","V9TP-2x",NA,"ended",2018-10-06 13:00:00,"354",2019-09-25 13:00:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1809",260
"33","1292642","acoustic-archival","animal","pressure","A69-9006-3647",NA,"INNOVASEA","V9TP-2x",NA,"available",NA,"354",2019-09-25 13:00:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"Meters",NA,3,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1810",261
"34","1292642","acoustic-archival","animal","temperature","A69-9006-3646",NA,"INNOVASEA","V9TP-2x",NA,"available",NA,"354",2019-09-25 13:00:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1811",261
"35","1292643","acoustic-archival","animal","pressure","A69-9006-3649",NA,"INNOVASEA","V9TP-2x",NA,"ended",2018-10-06 13:00:00,"354",2019-09-25 13:00:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"Meters",NA,3,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1812",262
